t,u_cmd,position,velocity,accel,torque,current,voltage
0.0,-6.36751821714896,-5.68001903680256,-9.98509989296848,19.1065654648959,-3.33563666301182,-20.0,-34.8214349342644
0.0009999999999998899,-6.37642590615134,-5.70254968746921,-9.97226344513589,19.1628841739001,-3.3717902462882,-20.0,-34.9965245395818
0.0019999999999997797,-6.38531880386115,-5.69188247712032,-10.0393262132696,18.8574227115336,-3.37254244905305,-20.0,-34.9262937930737
0.0030000000000001137,-6.39419698831222,-5.70519911803323,-9.9584568925415,18.8081552377551,-3.35327843314501,-20.0,-35.0587486238939
0.0040000000000000036,-6.40306053777237,-5.72452716755978,-9.92999280837996,18.8271776282639,-3.38944195188066,-20.0,-35.1528377407066
0.004999999999999893,-6.41190953073925,-5.73771037798302,-9.93898081332451,18.6702281929344,-3.35081383442124,-20.0,-35.0696305406029
0.005999999999999783,-6.42074404593619,-5.73203777858725,-9.86771237615167,18.6428084511425,-3.38304115381852,-20.0,-35.1475036871475
0.007000000000000117,-6.42956416230796,-5.74710115808271,-9.86548491890989,18.5616062287122,-3.3458288278775,-20.0,-35.1944605797427
0.008000000000000007,-6.43836995901664,-5.74855494793468,-9.83851406553535,18.3620245388042,-3.3388498157487,-20.0,-35.2198067892866
0.008999999999999897,-6.44716151543745,-5.75710096484572,-9.84820099518315,18.3720321160837,-3.32136749675508,-20.0,-35.3010875287129
0.009999999999999787,-6.45593891115448,-5.77877977388571,-9.76941491205974,18.5083290585986,-3.39798372763111,-20.0,-35.2249833505341
0.01100000000000012,-6.46470222595659,-5.7691209291971,-9.80086174034711,18.4383784316821,-3.3822769614025,-20.0,-35.370908994839
0.01200000000000001,-6.47345153983312,-5.82880959905852,-9.795373429119,18.2487088241987,-3.32975042945548,-20.0,-35.4810661925041
0.0129999999999999,-6.48218693296972,-5.80019913984852,-9.76286435156196,18.1664743186939,-3.30343542655874,-20.0,-35.5797741604431
0.01399999999999979,-6.49090848574413,-5.83761012223431,-9.75324324505001,18.2667836409182,-3.35818291700753,-20.0,-35.5045696107964
0.015000000000000124,-6.49961627872194,-5.82906158702651,-9.72326490919883,18.1689594707495,-3.37436006050207,-20.0,-35.651832546309
0.016000000000000014,-6.50831039265239,-5.86114040009952,-9.78740603399914,18.1122382490813,-3.34742092379372,-20.0,-35.6505769638519
0.016999999999999904,-6.51699090846411,-5.8352492058225,-9.67943955259121,17.9612063877115,-3.45218437448251,-20.0,-35.619695402235
0.017999999999999794,-6.5256579072609,-5.86698948082387,-9.68789082727236,17.9752118108207,-3.40610896271938,-20.0,-35.6339586887245
0.019000000000000128,-6.53431147031747,-5.85712964469452,-9.70036984755308,17.7808678122742,-3.41895489458094,-20.0,-35.7549044344267
0.020000000000000018,-6.54295167907521,-5.89793355587367,-9.69220627513776,18.0148230586753,-3.38284136534164,-20.0,-35.8451327917005
0.020999999999999908,-6.55157861513794,-5.88939579492975,-9.59052661228775,17.7858890899362,-3.40729781419058,-20.0,-35.8135476283162
0.021999999999999797,-6.56019236026763,-5.91277787518654,-9.5684931511796,17.7933874798068,-3.40147291525327,-20.0,-35.9742024537369
0.02300000000000013,-6.56879299638014,-5.89799013319767,-9.64986825388297,17.5981500600573,-3.40299081827137,-20.0,-35.949713577902
0.02400000000000002,-6.57738060554101,-5.91534831416238,-9.62013406149523,17.5372069629459,-3.40619253387476,-20.0,-35.9282995016814
0.02499999999999991,-6.5859552699611,-5.9328837283032,-9.60410278446311,17.4680206219382,-3.45866285136431,-20.0,-36.0343389038724
0.0259999999999998,-6.5945170719924,-5.93441482917656,-9.52725491400782,17.5248269548465,-3.44038756098995,-20.0,-36.0664296592965
0.027000000000000135,-6.6030660941237,-5.93186351483097,-9.52328216035206,17.3263828341176,-3.46843616638697,-20.0,-36.0700470732333
0.028000000000000025,-6.61160241897632,-5.9636394605136,-9.52545565905271,17.4318995182663,-3.38991565286852,-20.0,-36.1550679132336
0.028999999999999915,-6.62012612929987,-5.97268279866102,-9.46050815540451,16.9930740533406,-3.41851910443654,-20.0,-36.182902519334
0.029999999999999805,-6.62863730796789,-5.95840902374955,-9.42990138806915,17.2639320766284,-3.46644850347214,-20.0,-36.3267070314652
0.03100000000000014,-6.63713603797361,-5.96802159807904,-9.523759530973,17.0756456079671,-3.49354000211166,-20.0,-36.2826009852052
0.03200000000000003,-6.64562240242565,-5.97021283485166,-9.39073803129994,16.9477798042799,-3.42212342171184,-20.0,-36.3123733744859
0.03299999999999992,-6.65409648454369,-6.00386430146504,-9.36550180502047,17.0316236652556,-3.43309727732437,-20.0,-36.3082299935525
0.03399999999999981,-6.66255836765425,-6.02439870350354,-9.39240426056937,16.9579272271718,-3.50231040968438,-20.0,-36.4291267516667
0.03500000000000014,-6.67100813518628,-6.01178194745648,-9.39809837274535,16.9888364415152,-3.48412562037439,-20.0,-36.4849341376953
0.03600000000000003,-6.67944587066694,-6.03709615772161,-9.38102000340139,16.8258763045806,-3.53430602340582,-20.0,-36.5100050111933
