t,u_cmd,position,velocity,accel,torque,current,voltage
0.0,-5.9738778989963,-5.95304076656633,1.35552398668052,4.04146965933254,-2.8133456097458,-20.0,-27.1612317862507
0.0009999999999998899,-5.97172597672314,-5.94110265525604,1.50657602304912,4.24417033124632,-2.85981129425682,-20.0,-27.0451441993937
0.0019999999999997797,-5.96955061897512,-5.97749779415035,1.50247439563653,4.7471562228364,-2.86676014457784,-20.0,-26.9836888011334
0.0030000000000001137,-5.96735152728107,-5.97079303488034,1.41698377801173,4.97298618024443,-2.79456489406759,-20.0,-26.8948006621937
0.0040000000000000036,-5.96512840365222,-5.98209203578749,1.35455734886563,5.21958498574309,-2.79758545569622,-20.0,-26.898780756582
0.004999999999999893,-5.96288095059508,-5.98925972225099,1.45471397199548,5.5009034789171,-2.82097766959787,-20.0,-26.8193969238236
0.005999999999999783,-5.9606088711243,-5.95746860681709,1.43696029976619,5.75736342732705,-2.76829396378832,-20.0,-26.7096423629739
0.007000000000000117,-5.95831186877548,-5.93887093124747,1.41420463918349,6.13015060455018,-2.78219035624976,-20.0,-26.4883250721021
0.008000000000000007,-5.95598964761801,-5.94485118073191,1.38318151965968,6.29134100032902,-2.77486236668372,-20.0,-26.4781316454223
0.008999999999999897,-5.9536419122678,-5.92675303603258,1.43755195494804,6.78313433139492,-2.79334599918025,-20.0,-26.3409474453687
0.009999999999999787,-5.95126836790012,-5.92770574945663,1.48247044845102,7.08506031444569,-2.81664489928115,-20.0,-26.2343219324587
0.01100000000000012,-5.94886872026229,-5.97986115417234,1.50713283734275,7.27809769539998,-2.79106339843739,-20.0,-26.2509775072997
0.01200000000000001,-5.94644267568646,-5.90558450671584,1.45936262990116,7.47105963443672,-2.75417602353169,-20.0,-26.2525935108917
0.0129999999999999,-5.94398994110227,-5.90779833470908,1.3552194781451,8.00142495232934,-2.73300592049922,-20.0,-26.0271434111994
0.01399999999999979,-5.94151022404956,-5.9570746529435,1.52599994103893,8.40800241472418,-2.74123477452413,-20.0,-25.9763307971394
0.015000000000000124,-5.93900323269104,-5.94114410275678,1.47909271725031,8.47340690398801,-2.7315889663542,-20.0,-25.9851852626482
0.016000000000000014,-5.93646867582488,-5.95819612558198,1.46487588390308,9.09620922278879,-2.71269631654638,-20.0,-25.8614864220326
0.016999999999999904,-5.9339062628974,-5.96833881060235,1.56096954910473,9.16239586580304,-2.69212398415407,-20.0,-25.8395810744188
0.017999999999999794,-5.93131570401559,-5.91986639960523,1.48542456177667,9.37130120515758,-2.71780542731055,-20.0,-25.7668482680893
0.019000000000000128,-5.92869670995972,-5.90552994306329,1.32891248043723,9.86157387722162,-2.71920426123053,-20.0,-25.6453355638097
0.020000000000000018,-5.92604899219587,-5.94382861857879,1.45001462833392,10.1881315923456,-2.66148779737524,-20.0,-25.5942755706539
0.020999999999999908,-5.92337226288841,-5.93992270754661,1.49922323304458,10.5247120095701,-2.70815584628032,-20.0,-25.5415251697856
0.021999999999999797,-5.92066623491256,-5.90184907605801,1.57866827850075,10.5579572767984,-2.67528374060123,-20.0,-25.4095153262703
0.02300000000000013,-5.91793062186678,-5.97283215836824,1.60780462949664,11.1095613875381,-2.67243218221464,-20.0,-25.3161227719431
0.02400000000000002,-5.91516513808526,-5.96845490925146,1.60657138086424,11.294506875972,-2.66415779152589,-20.0,-25.131161914028
0.02499999999999991,-5.91236949865027,-5.9263852296004,1.60620914871763,11.5709271113856,-2.64719682002752,-20.0,-25.1286554636352
0.0259999999999998,-5.9095434194046,-5.91939663970962,1.60916552034181,11.7682611303858,-2.64571809920783,-20.0,-25.002474298906
0.027000000000000135,-5.90668661696388,-5.89016866716837,1.61319838696931,12.2074993454665,-2.58451069560161,-20.0,-24.8777568600568
